101381,FL,ALACHUA COUNTY,186495.3,186495.3,0,0,186495.3,160628.4,0,0,0,0,29.65985,-82.470075,Residential,Wood,3
101761,FL,ALACHUA COUNTY,0,3612725.1,0,3612725.1,3612725.1,4314569.21,0,0,0,0,29.679979,-82.430305,Commercial,Reinforced Masonry,1
102109,FL,ALACHUA COUNTY,12600,12600,12600,12600,12600,17442.43,0,252,0,0,29.66912,-82.34123,Residential,Wood,3
103067,FL,ALACHUA COUNTY,3825,3825,3825,3825,3825,6515.96,0,76.5,0,0,29.61018,-82.42043,Residential,Wood,1
104015,FL,ALACHUA COUNTY,18450000,18450000,18450000,18450000,18450000,19530000,0,0,0,0,29.659702,-82.412109,Commercial,Reinforced Concrete,3
104307,FL,ALACHUA COUNTY,9540,9540,9540,9540,9540,14376.4,0,0,0,0,29.7077,-82.3979,Residential,Wood,4
104374,FL,ALACHUA COUNTY,450,450,450,450,450,443.61,0,9,0,0,29.64186,-82.61538,Residential,Wood,1
106068,FL,ALACHUA COUNTY,450,450,450,450,450,529.95,0,9,0,0,29.66433,-82.37083,Residential,Wood,1
106447,FL,ALACHUA COUNTY,0,245775.8,0,0,245775.8,275679.34,0,0,0,0,29.83628,-82.58826,Residential,Wood,4
107182,FL,ALACHUA COUNTY,0,50787,0,50787,50787,61960.14,0,0,0,0,29.679979,-82.430305,Residential,Wood,1
108397,FL,ALACHUA COUNTY,1800,1800,1800,1800,1800,2146.18,0,36,0,0,29.67887,-82.40204,Residential,Wood,1
110174,FL,ALACHUA COUNTY,450,450,450,450,450,503.71,0,9,0,0,29.66064,-82.29745,Residential,Wood,1
112230,FL,ALACHUA COUNTY,2088,2088,2088,2088,2088,2380.72,0,0,0,0,29.68325,-82.36479,Residential,Wood,1
112920,FL,ALACHUA COUNTY,450,450,450,450,450,673.76,0,9,0,0,29.62885,-82.44461,Residential,Wood,4
114088,FL,ALACHUA COUNTY,1558053,1558053,1558053,1558053,1558053,1978153.95,0,0,0,0,29.623005,-81.975615,Residential,Masonry,3
114113,FL,ALACHUA COUNTY,360,360,360,360,360,537.76,0,7.2,0,0,29.67887,-82.40204,Residential,Wood,1
114275,FL,ALACHUA COUNTY,0,19170000,0,0,19170000,19350000,0,0,0,0,30.104597,-81.830841,Commercial,Reinforced Concrete,4
115105,FL,ALACHUA COUNTY,257736.6,257736.6,0,0,257736.6,432997.49,0,0,0,0,29.634666,-82.356575,Residential,Wood,1
115836,FL,ALACHUA COUNTY,0,86823.85,0,0,86823.85,74887.66,0,0,0,0,29.6786,-82.3694,Residential,Wood,4
120617,FL,ALACHUA COUNTY,370749.6,370749.6,0,0,370749.6,361327.37,0,0,0,0,29.72192,-82.36223,Residential,Masonry,1
120667,FL,ALACHUA COUNTY,0,96514.7,0,0,96514.7,132755.96,0,0,0,0,29.59809,-82.09247,Residential,Wood,1
121735,FL,ALACHUA COUNTY,0,5699151.9,0,5699151.9,5699151.9,8607115.66,0,0,0,0,29.679979,-82.430305,Commercial,Reinforced Masonry,1
121963,FL,ALACHUA COUNTY,14400000,14400000,14400000,14400000,14400000,18000000,0,287589.6,0,0,29.64273,-82.3083,Commercial,Reinforced Concrete,3
123476,FL,ALACHUA COUNTY,0,111265.73,0,0,111265.73,182849.1,0,0,0,0,29.6517,-82.3253,Residential,Wood,4
